,CN_1,CN_2,Ca4227,Fe4383,Ca4455,Fe4531,Fe5015,Mg_b,Fe5270,Fe5335,Fe5406,Fe5709,Fe5782,MgFe,Mgb/Fe
Mbi3.30Zm1.79T09.0000_iTp0.00_ACFep00_aFem02,-0.10483674433002452,-0.0763205894867012,0.10622835508709798,0.6437212360797275,0.13471080265434993,0.9039975639467298,0.9682385850057584,0.5453744275652259,0.7956228034262323,0.8179027618085242,0.44902222607744274,0.16616704325290826,0.1459015046306138,0.6612976549558596,0.676003453946982
Mbi3.30Zm1.79T09.5000_iTp0.00_ACFep00_aFem02,-0.1050515208654689,-0.07629847840171514,0.10568500383974866,0.638616539667155,0.13392053333311094,0.9005816127774146,0.9582948988325335,0.5421387579443518,0.7966301037432914,0.8202667105153729,0.4507045098983879,0.16620921163790017,0.1478379370424096,0.6599030722484552,0.6705916582474295
Mbi3.30Zm1.79T10.0000_iTp0.00_ACFep00_aFem02,-0.10569372905337523,-0.07650258380478887,0.10410986356666263,0.6298047165909663,0.13414142562620285,0.8954392096060101,0.9530877783164906,0.5450072915987813,0.7997005723958837,0.8212820446744806,0.45438373728033793,0.16707045184078578,0.1492324440927014,0.6626733884674652,0.6724406367586894
Mbi3.30Zm1.79T10.5000_iTp0.00_ACFep00_aFem02,-0.10815804452446517,-0.07848567691074274,0.1076601245421765,0.5788414808185921,0.13239266660630916,0.8819949875667422,0.9385356370116855,0.5309483896844365,0.7968506040316449,0.8192831375188928,0.4520228818935626,0.1641352788441621,0.15004835883452772,0.6530095634357275,0.6570599648207807
Mbi3.30Zm1.79T11.0000_iTp0.00_ACFep00_aFem02,-0.10754354453266106,-0.07737927114652339,0.10813296880621535,0.606512045424606,0.13002821675317955,0.8878006112797924,0.9448891241596544,0.5292380247920984,0.803836707906103,0.8244870571687062,0.4568952835949638,0.16645319520874227,0.15399210612375971,0.6545846450712167,0.6500402882319707
Mbi3.30Zm1.79T11.5000_iTp0.00_ACFep00_aFem02,-0.10559091230316237,-0.07619687565252427,0.1047289963760695,0.6452813512093849,0.13451120390126847,0.9237540603562698,0.9827041250493193,0.5305458845880262,0.8195327469372874,0.8375467131587582,0.46773618531692984,0.16677539436281139,0.15725721348980626,0.6614194978627351,0.6403384959672065
Mbi3.30Zm1.79T12.0000_iTp0.00_ACFep00_aFem02,-0.1021148159619851,-0.07308453294109235,0.10721150417604682,0.7002615097801905,0.1377581382145565,0.9254065326070057,0.9766162102897457,0.5245372876024919,0.8231366524643031,0.8410731681249427,0.4682130186514582,0.16553692053018393,0.15342092313211836,0.6590904421750088,0.6303739842332732
Mbi3.30Zm1.79T12.5000_iTp0.00_ACFep00_aFem02,-0.09699725976550465,-0.06860640665547788,0.10399913720645336,0.738081553253167,0.14497439068789741,0.9446577827809917,0.9981294261403941,0.5134638155238912,0.8315312801825948,0.8454950222771798,0.47672766540104206,0.16573647054223367,0.1535715439038264,0.6549570895963999,0.6123503427117025
Mbi3.30Zm1.79T13.0000_iTp0.00_ACFep00_aFem02,-0.09520707920391411,-0.06731249044021145,0.10443272722180005,0.7826117102548593,0.1446505939876227,0.9411611200465004,0.9881005143676163,0.5132026238321148,0.8364631170826762,0.8522944657546522,0.4779265876926137,0.16675148962817474,0.1532993423809471,0.656924637637569,0.6077872029090982
Mbi3.30Zm1.79T13.5000_iTp0.00_ACFep00_aFem02,-0.09209019164237842,-0.06478571665679131,0.10451291255389702,0.8389220792290459,0.14806672962139328,0.9532701373842928,0.997362805587953,0.517805282907094,0.8435049599860388,0.8603201248980776,0.4818563200090136,0.16897222032592832,0.1546795291367383,0.6627286618080902,0.6078150715128272
Mbi3.30Zm1.79T14.0000_iTp0.00_ACFep00_aFem02,-0.08806434341566854,-0.061542525647182635,0.10415488228915677,0.8965272461860581,0.1539946395771186,0.9666887615854249,1.009616882188778,0.5153872618267787,0.8513163776833558,0.8688349931002209,0.48838401811136894,0.1697793197593428,0.15624258609292666,0.6642933845727436,0.5992347773347476
Mbi3.30Zm1.49T00.0300_iTp0.00_ACFep00_aFem02,-0.13952841998095522,-0.0959547927245648,0.14519657475927125,-0.34553822277850854,0.2673321453180554,0.40933124814720145,0.8246567066839734,0.34796430889109614,0.47540261390691774,0.5134899740823675,0.2735905275123668,0.07371466653075653,0.1315025851564934,0.411259034845684,0.7037454079792665
Mbi3.30Zm1.49T00.0400_iTp0.00_ACFep00_aFem02,-0.14168065187191142,-0.09771989509294582,0.12118002781581197,-0.37716490842955763,0.25067044521939585,0.38169926955843864,0.7875832916823936,0.31490412714674093,0.45001544616142314,0.4925720688900417,0.2614105655476705,0.07173345858721715,0.12452743516907036,0.3813975262029388,0.6681695272179524
Mbi3.30Zm1.49T00.0500_iTp0.00_ACFep00_aFem02,-0.1457735578004907,-0.10141197659268703,0.07589348071859536,-0.4749061288334163,0.22631188657788232,0.3330684982373604,0.7410536336823469,0.2759591797481887,0.40081209305908116,0.4514303862346514,0.23894739494806103,0.06330103256019093,0.11880977099300037,0.3384065300491912,0.6476071926780289
Mbi3.30Zm1.49T00.0600_iTp0.00_ACFep00_aFem02,-0.14748490538145043,-0.10287005123214973,0.07424827008489276,-0.4679692906640863,0.22396838418668402,0.34009104810803065,0.7392328839077565,0.2684213558346436,0.40188001331016576,0.4529155662762593,0.2435709352833368,0.06163994366975519,0.11641297904880019,0.3342288244690748,0.6280363685654847
Mbi3.30Zm1.49T00.0700_iTp0.00_ACFep00_aFem02,-0.14991190783736882,-0.10480234934830143,0.0697805978422429,-0.49294605624122423,0.21210592708506742,0.3515714539217756,0.7424162162536141,0.27986011925297116,0.4083601198706504,0.4558330157530272,0.24791411398511923,0.06769915824498257,0.12071093586281506,0.3435167063331521,0.6476795700326862
